Requirement,Category,Requisite
Total Degree Credits,,120
Communication Theory & Skills,General Education,"COM 122,COM 219,COM 221"
Lower-Level Humanities,General Education,HU LXX
Lower-Level Social Sciences,General Education,SS LXX
Lower or Upper-Level Humanities or Social Sciences,General Education,HU LXX;HU HXX;SS LXX;SS HXX
Upper-Level Humanities or Social Sciences,General Education,HU HXX;SS HXX
Computer Science,General Education,CS 223
Mathematics,General Education,"MA241,MA 242"
Physical and Life Sciences,General Education,"(CHM 111;GEO 215;WX 201;PS 150;PS 227),((BIO 120, BIO 120L);(CHM 110, CHM 110L);(PS 224, PS 224L);(PS 226, PS 226L);(PS 250, PS 253)"
Professional Preparation,Degree Specialties,"EGR 101,UNIV 101"
Mathematics,Degree Specialties,MA 412
Upper-Level Mathematics,Degree Specialties,MA HXX
Upper-Level Mathematics or 200-400 Science,Degree Specialties,MA HXX;SCI 2XX;SCI 3XX;SCI 4XX
Computer Engineering,Degree Specialties,"CEC 220,CEC 222,CEC 320,CEC 322,CEC 450,CEC 470"
Computer Science,Degree Specialties,"CS 222,CS 225,CS 225L,CS 315,CS 317,CS 332,CS 362,CS 420, CS 432"
Software Engineering,Degree Specialties,"SE 300,SE 310,SE 320,SE 420,SE 450,SE 451"
Specified Electives,Degree Specialties,9
Technical Elective,Degree Specialties,CEC HXX;CS HXX;EE HXX;SE HXX;SYS HXX