B.S. in Software Engineering	BSSE	The Bachelor of Science degree in Software Engineering is designed to prepare students for an entry-level software engineering position in industry that supports the design and implementation of software systems with the focus on real-time, embedded, and safety-critical applications. Such systems are critical in aviation, space, medicine, and other disciplines that rely on high-quality, dependable software.
Specified Electives	9	
Communication Theory & Skills	COM 122	
Communication Theory & Skills	COM 219	
Communication Theory & Skills	COM 221	
Lower-Level Humanities	HU:3:LL	
Lower-Level Social Sciences	SS:3:LL	
Lower or Upper-Level Humanities or Social Sciences	HU:3:LL/SS:3:LL	
Upper-Level Humanities or Social Sciences	HU:3:HL/SS:3:HL	
Computer Science	CS 223	
Mathematics	MA 241	
Mathematics	MA 242	
Physical Life Sciences	CHM 111/GEO 215/WX 201/PS 227	
Physical Life Sciences	BIO 120/CHM 110/PS 224/PS 226/PS 250	
Physical Life Sciences	BIO 120L/CHM 110L/PS 224L/PS 226L/PS 253	
Professional Preparation	EGR 101	
Professional Preparation	UNIV 101	
Mathematics	MA:3:HL	
Mathematics	MA:3:HL/SCI:3:/2XX/SCI:3:HL-MA305-PS226-PS227	
Computer Engineering	CEC 220	
Computer Engineering	CEC 222	
Computer Engineering	CEC 320	
Computer Engineering	CEC 322	
Computer Engineering	CEC 450	
Computer Engineering	CEC 470	
Computer Science	CS 222	
Computer Science	CS 225	
Computer Science	 CS 225L	
Computer Science	CS 315	
Computer Science	CS 317	
Computer Science	CS 332	
Computer Science	CS 362	
Computer Science	CS 420	
Computer Science	CS 432	
Software Engineering	SE 300	
Software Engineering	SE 310	
Software Engineering	SE 320	
Software Engineering	SE 420	
Software Engineering	SE 450	
Software Engineering	SE 451	
Technical Elective	CEC:3:HL/CS:3:HL/EE:3:HL/SE:3:HL/SYS:3:HL	